city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
Amstelveen,17-06-2022,England,Netherlands,"VRA Ground, Amstelveen",Netherlands,field,232,0,England
Kandy,16-06-2022,Sri Lanka,Australia,Pallekele International Cricket Stadium,Australia,field,26,0,Sri Lanka
Pearland,15-06-2022,United States of America,Nepal,"Moosa Cricket Stadium, Pearland",Nepal,field,39,0,United States of America
Pearland,14-06-2022,Oman,Nepal,"Moosa Cricket Stadium, Pearland",Oman,bat,0,7,Nepal
Kandy,14-06-2022,Sri Lanka,Australia,Pallekele International Cricket Stadium,Sri Lanka,bat,0,2,Australia
Multan,12-06-2022,Pakistan,West Indies,Multan Cricket Stadium,Pakistan,bat,53,0,Pakistan
Pearland,12-06-2022,Oman,United States of America,"Moosa Cricket Stadium, Pearland",Oman,bat,13,0,Oman
Pearland,11-06-2022,Nepal,United States of America,"Moosa Cricket Stadium, Pearland",Nepal,bat,0,0,
Multan,10-06-2022,Pakistan,West Indies,Multan Cricket Stadium,Pakistan,bat,120,0,Pakistan
Harare,09-06-2022,Zimbabwe,Afghanistan,Harare Sports Club,Afghanistan,field,0,4,Afghanistan
Pearland,09-06-2022,Oman,Nepal,"Moosa Cricket Stadium, Pearland",Oman,bat,13,0,Oman
Pearland,08-06-2022,United States of America,Oman,"Moosa Cricket Stadium, Pearland",Oman,field,114,0,United States of America
Multan,08-06-2022,West Indies,Pakistan,Multan Cricket Stadium,West Indies,bat,0,5,Pakistan
Harare,06-06-2022,Zimbabwe,Afghanistan,Harare Sports Club,Afghanistan,field,0,8,Afghanistan
Amstelveen,04-06-2022,West Indies,Netherlands,"VRA Ground, Amstelveen",West Indies,bat,20,0,West Indies
Harare,04-06-2022,Afghanistan,Zimbabwe,Harare Sports Club,Zimbabwe,field,60,0,Afghanistan
Pearland,04-06-2022,United States of America,United Arab Emirates,"Moosa Cricket Stadium, Pearland",United Arab Emirates,field,0,8,United Arab Emirates
Pearland,03-06-2022,Scotland,United Arab Emirates,"Moosa Cricket Stadium, Pearland",Scotland,bat,0,5,United Arab Emirates
Amstelveen,02-06-2022,Netherlands,West Indies,"VRA Ground, Amstelveen",Netherlands,bat,0,5,West Indies
Pearland,01-06-2022,United Arab Emirates,United States of America,"Moosa Cricket Stadium, Pearland",United Arab Emirates,bat,0,4,United States of America
Pearland,31-05-2022,United Arab Emirates,Scotland,"Moosa Cricket Stadium, Pearland",United Arab Emirates,bat,0,4,Scotland
Amstelveen,31-05-2022,Netherlands,West Indies,"VRA Ground, Amstelveen",West Indies,field,0,7,West Indies
Pearland,29-05-2022,Scotland,United States of America,"Choice Moosa Stadium, Pearland",Scotland,bat,111,0,Scotland
Pearland,28-05-2022,United States of America,Scotland,"Choice Moosa Stadium, Pearland",United States of America,bat,104,0,United States of America
Dubai,16-04-2022,Oman,Papua New Guinea,Dubai International Cricket Stadium,Oman,bat,85,0,Oman
Dubai,15-04-2022,Oman,Scotland,Dubai International Cricket Stadium,Oman,bat,0,2,Scotland
Dubai,13-04-2022,Scotland,Papua New Guinea,Dubai International Cricket Stadium,Scotland,bat,123,0,Scotland
Dubai,12-04-2022,Papua New Guinea,Oman,Dubai International Cricket Stadium,Papua New Guinea,bat,0,7,Oman
Dubai,10-04-2022,Scotland,Oman,Dubai International Cricket Stadium,Scotland,bat,4,0,Scotland
Dubai,09-04-2022,Scotland,Papua New Guinea,Dubai International Cricket Stadium,Papua New Guinea,field,162,0,Scotland
Hamilton,04-04-2022,New Zealand,Netherlands,"Seddon Park, Hamilton",New Zealand,bat,115,0,New Zealand
Hamilton,02-04-2022,New Zealand,Netherlands,"Seddon Park, Hamilton",Netherlands,field,118,0,New Zealand
Lahore,02-04-2022,Australia,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,field,0,9,Pakistan
Lahore,31-03-2022,Australia,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,field,0,6,Pakistan
Mount Maunganui,29-03-2022,Netherlands,New Zealand,"Bay Oval, Mount Maunganui",Netherlands,bat,0,7,New Zealand
Lahore,29-03-2022,Australia,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,field,88,0,Australia
Kirtipur,26-03-2022,Nepal,Papua New Guinea,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,0,3,Papua New Guinea
Kirtipur,25-03-2022,Papua New Guinea,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,6,0,Papua New Guinea
Centurion,23-03-2022,South Africa,Bangladesh,"SuperSport Park, Centurion",South Africa,bat,0,9,Bangladesh
Dubai,22-03-2022,Papua New Guinea,Nepal,Dubai International Cricket Stadium,Nepal,field,0,7,Nepal
Dubai,21-03-2022,United Arab Emirates,Nepal,Dubai International Cricket Stadium,Nepal,field,99,0,United Arab Emirates
Johannesburg,20-03-2022,Bangladesh,South Africa,"The Wanderers Stadium, Johannesburg",Bangladesh,bat,0,7,South Africa
Dubai,19-03-2022,United Arab Emirates,Papua New Guinea,Dubai International Cricket Stadium,United Arab Emirates,bat,0,6,Papua New Guinea
Centurion,18-03-2022,Bangladesh,South Africa,"SuperSport Park, Centurion",South Africa,field,38,0,Bangladesh
Dubai,18-03-2022,United Arab Emirates,Nepal,Dubai International Cricket Stadium,United Arab Emirates,bat,48,0,United Arab Emirates
Sharjah,16-03-2022,Papua New Guinea,Nepal,Sharjah Cricket Stadium,Papua New Guinea,bat,0,2,Nepal
Sharjah,15-03-2022,Papua New Guinea,United Arab Emirates,Sharjah Cricket Stadium,Papua New Guinea,bat,0,7,United Arab Emirates
Dubai,14-03-2022,Oman,Namibia,Dubai International Cricket Stadium,Oman,bat,0,5,Namibia
Sharjah,12-03-2022,United Arab Emirates,Namibia,Sharjah Cricket Stadium,Namibia,field,43,0,United Arab Emirates
Sharjah,11-03-2022,Namibia,Oman,Sharjah Cricket Stadium,Namibia,bat,0,7,Oman
Dubai,09-03-2022,Oman,United Arab Emirates,"ICC Academy, Dubai",Oman,bat,8,0,Oman
Dubai,08-03-2022,Namibia,United Arab Emirates,"ICC Academy, Dubai",United Arab Emirates,field,0,3,United Arab Emirates
Dubai,06-03-2022,Namibia,Oman,"ICC Academy, Dubai",Namibia,bat,110,0,Namibia
Dubai,05-03-2022,Oman,United Arab Emirates,"ICC Academy, Dubai",United Arab Emirates,field,12,0,Oman
Chattogram,28-02-2022,Bangladesh,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,bat,0,7,Afghanistan
Chattogram,25-02-2022,Bangladesh,Afghanistan,"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,bat,88,0,Bangladesh
Chattogram,23-02-2022,Afghanistan,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",Afghanistan,bat,0,4,Bangladesh
Ahmedabad,11-02-2022,India,West Indies,"Narendra Modi Stadium, Ahmedabad",India,bat,96,0,India
Ahmedabad,09-02-2022,India,West Indies,"Narendra Modi Stadium, Ahmedabad",West Indies,field,44,0,India
Al Amarat,08-02-2022,Oman,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,field,0,0,
Al Amarat,06-02-2022,Oman,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,field,0,4,United Arab Emirates
Ahmedabad,06-02-2022,West Indies,India,"Narendra Modi Stadium, Ahmedabad",India,field,0,6,India
Al Amarat,05-02-2022,Oman,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,field,0,4,United Arab Emirates
Doha,25-01-2022,Afghanistan,Netherlands,"West End Park International Cricket Stadium, Doha",Afghanistan,bat,75,0,Afghanistan
Cape Town,23-01-2022,South Africa,India,"Newlands, Cape Town",India,field,4,0,South Africa
Doha,23-01-2022,Afghanistan,Netherlands,"West End Park International Cricket Stadium, Doha",Afghanistan,bat,48,0,Afghanistan
Doha,21-01-2022,Afghanistan,Netherlands,"West End Park International Cricket Stadium, Doha",Netherlands,field,36,0,Afghanistan
Kandy,21-01-2022,Sri Lanka,Zimbabwe,Pallekele International Cricket Stadium,Sri Lanka,bat,184,0,Sri Lanka
Paarl,21-01-2022,India,South Africa,"Boland Park, Paarl",India,bat,0,7,South Africa
Paarl,19-01-2022,South Africa,India,"Boland Park, Paarl",South Africa,bat,31,0,South Africa
Kandy,18-01-2022,Zimbabwe,Sri Lanka,Pallekele International Cricket Stadium,Zimbabwe,bat,22,0,Zimbabwe
Kandy,16-01-2022,Zimbabwe,Sri Lanka,Pallekele International Cricket Stadium,Zimbabwe,bat,0,5,Sri Lanka
Kingston,16-01-2022,West Indies,Ireland,"Sabina Park, Kingston, Jamaica",Ireland,field,0,2,Ireland
Kingston,13-01-2022,West Indies,Ireland,"Sabina Park, Kingston, Jamaica",Ireland,field,0,5,Ireland
Kingston,08-01-2022,West Indies,Ireland,"Sabina Park, Kingston, Jamaica",Ireland,field,24,0,West Indies
Windhoek,26-11-2021,Namibia,Oman,"Wanderers Cricket Ground, Windhoek",Oman,field,40,0,Namibia
Centurion,26-11-2021,South Africa,Netherlands,"SuperSport Park, Centurion",Netherlands,field,0,0,
Al Amarat,02-10-2021,Scotland,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,bat,0,0,
Al Amarat,01-10-2021,Papua New Guinea,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,bat,0,3,Oman
Al Amarat,29-09-2021,Papua New Guinea,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,bat,0,4,Scotland
Al Amarat,28-09-2021,Scotland,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Scotland,bat,18,0,Scotland
Al Amarat,26-09-2021,Oman,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Papua New Guinea,field,110,0,Oman
Al Amarat,25-09-2021,Papua New Guinea,Scotland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Scotland,field,0,6,Scotland
Al Amarat,20-09-2021,Oman,United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,field,72,0,Oman
Al Amarat,19-09-2021,Oman,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,0,7,Nepal
Al Amarat,17-09-2021,Nepal,United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,field,0,6,United States of America
Al Amarat,16-09-2021,United States of America,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,0,4,Oman
Al Amarat,14-09-2021,Nepal,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,bat,0,5,Oman
Belfast,13-09-2021,Zimbabwe,Ireland,"Civil Service Cricket Club, Stormont, Belfast",Ireland,field,0,7,Ireland
Al Amarat,13-09-2021,United States of America,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United States of America,bat,0,5,Nepal
Al Amarat,10-09-2021,Nepal,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,bat,151,0,Nepal
Belfast,10-09-2021,Ireland,Zimbabwe,"Civil Service Cricket Club, Stormont, Belfast",Zimbabwe,field,0,0,
Al Amarat,09-09-2021,United States of America,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Papua New Guinea,field,134,0,United States of America
Belfast,08-09-2021,Zimbabwe,Ireland,"Civil Service Cricket Club, Stormont, Belfast",Ireland,field,38,0,Zimbabwe
Colombo,07-09-2021,Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Sri Lanka,bat,78,0,Sri Lanka
Al Amarat,07-09-2021,Papua New Guinea,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,bat,0,2,Nepal
Al Amarat,06-09-2021,Papua New Guinea,United States of America,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Papua New Guinea,bat,0,7,United States of America
Colombo,04-09-2021,South Africa,Sri Lanka,"R Premadasa Stadium, Colombo",South Africa,bat,67,0,South Africa
Colombo,02-09-2021,Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Sri Lanka,bat,14,0,Sri Lanka
Bridgetown,26-07-2021,West Indies,Australia,"Kensington Oval, Bridgetown, Barbados",West Indies,bat,0,6,Australia
Bridgetown,24-07-2021,Australia,West Indies,"Kensington Oval, Bridgetown, Barbados",Australia,bat,0,4,West Indies
Colombo,23-07-2021,India,Sri Lanka,"R Premadasa Stadium, Colombo",India,bat,0,3,Sri Lanka
Harare,20-07-2021,Zimbabwe,Bangladesh,Harare Sports Club,Bangladesh,field,0,5,Bangladesh
Bridgetown,20-07-2021,Australia,West Indies,"Kensington Oval, Bridgetown, Barbados",Australia,bat,133,0,Australia
Colombo,20-07-2021,Sri Lanka,India,"R Premadasa Stadium, Colombo",Sri Lanka,bat,0,3,India
Colombo,18-07-2021,Sri Lanka,India,"R Premadasa Stadium, Colombo",Sri Lanka,bat,0,7,India
Harare,18-07-2021,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat,0,3,Bangladesh
Harare,16-07-2021,Bangladesh,Zimbabwe,Harare Sports Club,Zimbabwe,field,155,0,Bangladesh
Dublin,16-07-2021,South Africa,Ireland,"The Village, Malahide, Dublin",South Africa,bat,70,0,South Africa
Dublin,13-07-2021,Ireland,South Africa,"The Village, Malahide, Dublin",South Africa,field,43,0,Ireland
Birmingham,13-07-2021,Pakistan,England,"Edgbaston, Birmingham",England,field,0,3,England
Dublin,11-07-2021,Ireland,South Africa,"The Village, Malahide, Dublin",South Africa,field,0,0,
London,10-07-2021,England,Pakistan,"Lord's, London",Pakistan,field,52,0,England
Cardiff,08-07-2021,Pakistan,England,"Sophia Gardens, Cardiff",England,field,0,9,England
Bristol,04-07-2021,Sri Lanka,England,"County Ground, Bristol",England,field,0,0,
London,01-07-2021,Sri Lanka,England,"Kennington Oval, London",England,field,0,8,England
Chester-le-Street,29-06-2021,Sri Lanka,England,"Riverside Ground, Chester-le-Street",England,field,0,5,England
Utrecht,07-06-2021,Ireland,Netherlands,"Sportpark Maarschalkerweerd, Utrecht",Ireland,bat,0,4,Netherlands
Utrecht,04-06-2021,Netherlands,Ireland,"Sportpark Maarschalkerweerd, Utrecht",Netherlands,bat,0,8,Ireland
Utrecht,02-06-2021,Netherlands,Ireland,"Sportpark Maarschalkerweerd, Utrecht",Netherlands,bat,1,0,Netherlands
Dhaka,28-05-2021,Sri Lanka,Bangladesh,"Shere Bangla National Stadium, Mirpur",Sri Lanka,bat,97,0,Sri Lanka
Mirpur,25-05-2021,Bangladesh,Sri Lanka,Sher-e-Bangla National Cricket Stadium,Bangladesh,bat,103,0,Bangladesh
Dhaka,23-05-2021,Bangladesh,Sri Lanka,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,33,0,Bangladesh
Rotterdam,20-05-2021,Netherlands,Scotland,"Hazelaarweg, Rotterdam",Netherlands,bat,0,6,Scotland
Rotterdam,19-05-2021,Netherlands,Scotland,"Hazelaarweg, Rotterdam",Netherlands,bat,14,0,Netherlands
Centurion,07-04-2021,Pakistan,South Africa,"SuperSport Park, Centurion",South Africa,field,28,0,Pakistan
Johannesburg,04-04-2021,South Africa,Pakistan,The Wanderers Stadium,Pakistan,field,17,0,South Africa
Centurion,02-04-2021,South Africa,Pakistan,"SuperSport Park, Centurion",Pakistan,field,0,3,Pakistan
Pune,28-03-2021,India,England,Maharashtra Cricket Association Stadium,England,field,7,0,India
Wellington,26-03-2021,New Zealand,Bangladesh,Basin Reserve,New Zealand,bat,164,0,New Zealand
Pune,26-03-2021,India,England,Maharashtra Cricket Association Stadium,England,field,0,6,England
Pune,23-03-2021,India,England,Maharashtra Cricket Association Stadium,England,field,66,0,India
Christchurch,23-03-2021,Bangladesh,New Zealand,Hagley Oval,New Zealand,field,0,5,New Zealand
Dunedin,20-03-2021,Bangladesh,New Zealand,University Oval,New Zealand,field,0,8,New Zealand
North Sound,14-03-2021,West Indies,Sri Lanka,Sir Vivian Richards Stadium,West Indies,field,0,5,West Indies
North Sound,12-03-2021,West Indies,Sri Lanka,Sir Vivian Richards Stadium,West Indies,field,0,5,West Indies
North Sound,10-03-2021,West Indies,Sri Lanka,Sir Vivian Richards Stadium,Sri Lanka,bat,0,8,West Indies
Abu Dhabi,26-01-2021,Afghanistan,Ireland,Sheikh Zayed Stadium,Ireland,field,36,0,Afghanistan
Chattogram,25-01-2021,Bangladesh,West Indies,Zahur Ahmed Chowdhury Stadium,West Indies,field,120,0,Bangladesh
Abu Dhabi,24-01-2021,Ireland,Afghanistan,Sheikh Zayed Stadium,Ireland,bat,0,7,Afghanistan
Dhaka,22-01-2021,West Indies,Bangladesh,Shere Bangla National Stadium,West Indies,bat,0,7,Bangladesh
Abu Dhabi,21-01-2021,Afghanistan,Ireland,Sheikh Zayed Stadium,Afghanistan,bat,16,0,Afghanistan
Dhaka,20-01-2021,West Indies,Bangladesh,Shere Bangla National Stadium,Bangladesh,field,0,6,Bangladesh
Abu Dhabi,18-01-2021,Ireland,United Arab Emirates,Sheikh Zayed Stadium,United Arab Emirates,field,112,0,Ireland
Abu Dhabi,08-01-2021,Ireland,United Arab Emirates,Sheikh Zayed Stadium,Ireland,bat,0,6,United Arab Emirates
Canberra,02-12-2020,India,Australia,Manuka Oval,India,bat,13,0,India
,29-11-2020,Australia,India,Sydney Cricket Ground,Australia,bat,51,0,Australia
,27-11-2020,Australia,India,Sydney Cricket Ground,Australia,bat,66,0,Australia
,03-11-2020,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Zimbabwe,bat,0,0,
,01-11-2020,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Zimbabwe,bat,0,6,Pakistan
,30-10-2020,Pakistan,Zimbabwe,Rawalpindi Cricket Stadium,Pakistan,bat,26,0,Pakistan
Manchester,16-09-2020,England,Australia,Old Trafford,England,bat,0,3,Australia
Manchester,13-09-2020,England,Australia,Old Trafford,England,bat,24,0,England
Manchester,11-09-2020,Australia,England,Old Trafford,England,field,19,0,Australia
Southampton,04-08-2020,England,Ireland,The Rose Bowl,Ireland,field,0,7,Ireland
Southampton,01-08-2020,Ireland,England,The Rose Bowl,Ireland,bat,0,4,England
Southampton,30-07-2020,Ireland,England,The Rose Bowl,England,field,0,6,England
Sydney,13-03-2020,Australia,New Zealand,Sydney Cricket Ground,Australia,bat,71,0,Australia
Potchefstroom,07-03-2020,South Africa,Australia,Senwes Park,South Africa,field,0,6,South Africa
Sylhet,06-03-2020,Bangladesh,Zimbabwe,Sylhet International Cricket Stadium,Zimbabwe,field,123,0,Bangladesh
Bloemfontein,04-03-2020,South Africa,Australia,Mangaung Oval,Australia,bat,0,6,South Africa
Sylhet,03-03-2020,Bangladesh,Zimbabwe,Sylhet International Cricket Stadium,Bangladesh,bat,4,0,Bangladesh
Kandy,01-03-2020,Sri Lanka,West Indies,Pallekele International Cricket Stadium,Sri Lanka,bat,6,0,Sri Lanka
Sylhet,01-03-2020,Bangladesh,Zimbabwe,Sylhet International Cricket Stadium,Bangladesh,bat,169,0,Bangladesh
Paarl,29-02-2020,South Africa,Australia,Boland Park,South Africa,bat,74,0,South Africa
Hambantota,26-02-2020,Sri Lanka,West Indies,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",West Indies,field,161,0,Sri Lanka
Colombo,22-02-2020,Sri Lanka,West Indies,Sinhalese Sports Club Ground,Sri Lanka,field,0,1,Sri Lanka
Kirtipur,12-02-2020,Nepal,United States of America,Tribhuvan University International Cricket Ground,Nepal,field,0,8,Nepal
Mount Maunganui,11-02-2020,New Zealand,India,Bay Oval,New Zealand,field,0,5,New Zealand
Kirtipur,11-02-2020,Oman,United States of America,Tribhuvan University International Cricket Ground,United States of America,field,92,0,Oman
Johannesburg,09-02-2020,South Africa,England,The Wanderers Stadium,England,field,0,2,England
Kirtipur,09-02-2020,Nepal,Oman,Tribhuvan University International Cricket Ground,Oman,field,0,8,Oman
Kirtipur,08-02-2020,Nepal,United States of America,Tribhuvan University International Cricket Ground,United States of America,field,35,0,Nepal
Auckland,08-02-2020,New Zealand,India,Eden Park,India,field,22,0,New Zealand
Durban,07-02-2020,South Africa,England,Kingsmead,England,field,0,0,
Kirtipur,06-02-2020,Oman,United States of America,Tribhuvan University International Cricket Ground,Oman,field,0,6,Oman
Hamilton,05-02-2020,New Zealand,India,Seddon Park,New Zealand,field,0,4,New Zealand
Kirtipur,05-02-2020,Nepal,Oman,Tribhuvan University International Cricket Ground,Nepal,field,18,0,Oman
Cape Town,04-02-2020,South Africa,England,Newlands,South Africa,field,0,7,South Africa
Bengaluru,19-01-2020,India,Australia,M.Chinnaswamy Stadium,Australia,bat,0,7,India
Rajkot,17-01-2020,India,Australia,Saurashtra Cricket Association Stadium,Australia,field,36,0,India
Mumbai,14-01-2020,India,Australia,Wankhede Stadium,Australia,field,0,10,Australia
St George's,12-01-2020,West Indies,Ireland,"National Cricket Stadium, Grenada",West Indies,field,0,5,West Indies
Bridgetown,09-01-2020,West Indies,Ireland,"Kensington Oval, Barbados",Ireland,bat,0,1,West Indies
