city,date,team1,team2,venue,toss_winner,toss_decision,win_by_runs,win_by_wickets,winner
Cardiff,20-06-2013,India,Sri Lanka,Sophia Gardens,India,field,0,8,India
London,19-06-2013,England,South Africa,Kennington Oval,England,field,0,7,England
London,17-06-2013,Australia,Sri Lanka,Kennington Oval,Australia,field,20,0,Sri Lanka
Cardiff,16-06-2013,England,New Zealand,Sophia Gardens,New Zealand,field,10,0,England
Birmingham,15-06-2013,India,Pakistan,Edgbaston,India,field,0,8,India
Cardiff,14-06-2013,South Africa,West Indies,Sophia Gardens,West Indies,field,0,0,
London,13-06-2013,England,Sri Lanka,Kennington Oval,Sri Lanka,field,0,7,Sri Lanka
Birmingham,12-06-2013,Australia,New Zealand,Edgbaston,Australia,bat,0,0,
London,11-06-2013,India,West Indies,Kennington Oval,India,field,0,8,India
Birmingham,10-06-2013,Pakistan,South Africa,Edgbaston,South Africa,bat,67,0,South Africa
Cardiff,09-06-2013,New Zealand,Sri Lanka,Sophia Gardens,Sri Lanka,bat,0,1,New Zealand
